År	Samtligap	Kvinnorp	Mänp	Samtligas	Kvinnors	Mäns	Samtligak	Kvinnork	Mänk	Samtligal	Kvinnorl	Mänl
2019	47100	43400	48600	38900	37700	40200	31400	31200	32000	38300	36400	44800
2018	46300	42200	48000	38000	36800	39400	30500	30300	31200	37400	35500	44400
2017	44700	40800	46300	36900	35700	38200	29800	29500	30500	36600	34600	43600
2016	44000	40100	45600	36000	34700	36500	28900	28700	29700	35700	33700	42700
2015	43800	39400	45400	35200	33900	36600	28000	27700	29000	34800	32800	42200
2014	42700	38100	44400	34500	33100	35900	27200	26900	28400	33900	31800	41600
2013	41500	36900	43200	33300	31900	34800	26400	26100	27700	32700	30700	40300
2012	40400	36000	42100	32500	31000	34000	25500	25200	26900	31900	29900	39800
2011	39000	34400	40700	31500	30000	33100	25000	24700	26300	31200	29100	39300
2010	37800	33500	39500	31100	29400	32900	24500	24200	25700	30300	28300	38500
2009	37200	32600	38800	30400	28600	32200	24100	23700	25400	29700	27600	37700
2008	36300	31400	38000	29100	27200	31000	23200	22800	24700	28500	26500	36500
2007	34100	29700	35700	27900	26000	29800	21800	21400	23500	26900	25000	34500
2006	33100	28600	34800	26900	25000	28700	21500	21100	23000	26200	24300	33800
2005	32000	27400	33700	25900	23900	27900	21000	20600	22500	25600	23700	33200
2004	31300	26500	33000	25300	23200	27300	20500	20100	22000	24900	23000	32400
2003	29900	25400	31500	24800	22700	26800	19700	19300	21300	24100	22300	31400
